Emp ID;First Name;Last Name;Gender;E Mail;Date of Birth;Date of Joining;Salary;Phone No.
677509;Lois;Walker;F;lois.walker@hotmail.com;3/29/1981;11/24/2003;168251;303-572-8492
940761;Brenda;Robinson;F;brenda.robinson@gmail.com;7/31/1970;7/27/2008;51063;225-945-4954
428945;Joe;Robinson;M;joe.robinson@gmail.com;6/16/1963;8/3/2016;50155;219-904-2161
408351;Diane;Evans;T;diane.evans@yahoo.com;12/4/1977;4/16/1999;180294;215-793-6791
193819;Benjamin;Russell;M;benjamin.russell@charter.net;4/17/1977;7/25/2013;117642;262-404-2252
499687;Patrick;Bailey;M;patrick.bailey@aol.com;9/27/1982;7/22/2005;72305;319-812-6957
539712;Nancy;Baker;F;nancy.baker@bp.com;6/13/1995;9/14/2016;98189;229-336-5117
380086;Carol;Murphy;F;carol.murphy@gmail.com;6/30/1958;1/28/1983;60918;216-336-0009
477616;Frances;Young;F;frances.young@gmail.com;6/9/1959;4/27/1994;121587;210-819-9765
162402;Diana;Peterson;F;diana.peterson@hotmail.co.uk;11/13/1987;2/17/2014;43010;479-783-5656
231469;Ralph;Flores;M;ralph.flores@yahoo.com;2/5/1975;4/14/2009;118457;316-280-2864
153989;Jack;Alexander;M;jack.alexander@gmail.com;5/19/1995;1/5/2017;82965;702-603-3769
386158;Melissa;King;F;melissa.king@comcast.net;2/24/1972;11/24/2015;166892;216-605-3731
301576;Wayne;Watson;M;wayne.watson@gmail.com;6/26/1996;7/19/2017;92758;701-231-9370
441771;Cheryl;Scott;F;cheryl.scott@gmail.com;2/23/1958;11/26/1990;92220;215-288-9345
528509;Paula;Diaz;F;paula.diaz@gmail.com;8/22/1966;8/22/1994;152654;252-531-7641
912990;Joshua;Stewart;M;joshua.stewart@yahoo.ca;5/18/1970;9/2/2002;184896;217-279-9342
214352;Theresa;Lee;F;theresa.lee@gmail.com;12/5/1992;1/19/2015;197537;319-553-8919
890290;Julia;Scott;F;julia.scott@apple.com;7/15/1959;2/23/2005;141518;423-939-1010
622406;Thomas;Lewis;M;thomas.lewis@gmail.com;10/4/1967;6/7/1998;73862;314-679-3697
979607;Carol;Edwards;F;carol.edwards@msn.com;12/14/1994;4/25/2016;93967;225-283-4295
969580;Matthew;Turner;M;matthew.turner@gmail.com;10/26/1993;2/7/2016;52237;236-972-7624
426038;Joan;Stewart;F;joan.stewart@yahoo.com;11/20/1972;12/30/2009;111673;216-637-6800
388642;Ruby;Rogers;F;ruby.rogers@gmail.com;5/1/1980;8/30/2013;160623;423-231-6507
560455;Carolyn;Hayes;F;carolyn.hayes@hotmail.co.uk;3/10/1958;7/3/2001;42005;239-882-8784
477253;Anne;Russell;F;anne.russell@ibm.com;7/29/1989;11/24/2013;103160;605-635-1306
263480;Daniel;Cooper;M;daniel.cooper@yahoo.com;1/1/1990;3/6/2014;153790;701-510-8162
683826;Roger;Roberts;M;roger.roberts@gmail.com;7/7/1969;1/29/2009;129625;206-497-3141
474599;Maria;Walker;F;maria.walker@microsoft.com;3/19/1975;10/1/1998;48944;423-668-5506
335732;Brenda;Butler;F;brenda.butler@gmail.com;12/6/1963;8/20/1987;60508;480-814-8284
329752;Lillian;Brown;F;lillian.brown@aol.com;5/12/1981;4/13/2015;67251;239-812-9041
893212;Amy;Howard;F;amy.howard@aol.com;6/16/1981;6/1/2003;112715;803-613-3168
621833;Gregory;Edwards;M;gregory.edwards@outlook.com;8/31/1993;9/30/2015;169245;503-256-9654
456747;Roy;Griffin;M;roy.griffin@yahoo.com;5/8/1991;8/23/2012;170895;219-506-9378
278556;Richard;Mitchell;M;richard.mitchell@verizon.net;7/28/1993;8/18/2016;122226;205-621-5884
333476;Mary;Wilson;F;mary.wilson@sbcglobal.net;12/1/1967;12/22/1991;109394;423-937-8660
218791;Aaron;Price;M;aaron.price@bp.com;2/10/1969;7/3/1997;54402;219-287-8926
134841;Donna;Brown;F;donna.brown@aol.com;9/14/1983;7/17/2013;129836;212-434-7910
726264;Carl;Collins;M;carl.collins@yahoo.com;12/22/1973;6/9/2007;162159;479-740-7633
766610;Joyce;Jenkins;F;joyce.jenkins@aol.com;8/22/1961;5/14/2010;119321;262-455-4187
923947;Mary;Bryant;F;mary.bryant@verizon.net;6/21/1962;5/20/2004;155442;319-827-3516
227922;Amanda;Hughes;F;amanda.hughes@rediffmail.com;7/29/1982;4/19/2007;114257;225-544-9700
265813;Jack;Campbell;M;jack.campbell@gmail.com;1/4/1985;7/29/2007;186280;316-499-5737
247137;Alan;Rivera;M;alan.rivera@apple.com;12/11/1978;6/7/2006;154810;423-277-6819
407061;Elizabeth;Jackson;F;elizabeth.jackson@aol.com;8/15/1964;1/19/2005;85420;603-568-6118
226714;Nancy;Davis;F;nancy.davis@ibm.com;11/14/1983;8/25/2012;94986;219-610-3067
702813;Ernest;Martinez;M;ernest.martinez@gmail.com;11/9/1989;1/24/2016;172098;479-951-4138
524896;Judy;Hernandez;F;judy.hernandez@gmail.com;3/25/1961;12/27/2011;133332;316-736-6126
